Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
fuel-tank-nameplate-and-adapter-kits-14093-84, FUEL TANK NAMEPLATE AND ADAPTER KITS , FUEL TANK NAMEPLATE AND ADAPTER KITS Adapter Kit for P/N 61771-66TB 61741-93T $23.95 Fits Fat Bob fuel tanks (except '08-later Touring and Trike models). Adapter Kit for P/N 61814-55T 61840-94T $23.95 Fits Fat Bob fuel tanks (except '08-later Touring and Trike models). Gives your fairing that custom look. Multi-colored. Made in the U.S.A. 14093-84 Black Background. $39.95 Eagle decal fits '13-earlier FL FLH and FLHT fairings., Harley Davidson,  , , , Title, Default Title, , , , , 14093-84, ,,,,,33.96,39.95
new-16205-10, NEW , NEW CYLINDER BASE COVER CHROME Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. CYLINDER BASE COVER CHROME Engine Covers Milwaukee-Eight Add a custom style to the front end with this brilliant chromeplated Engine Mount Stabilizer Link. This custom heim joint assembly complements the chrome Billet Front Engine Mount Bracket P/N 16205-10. Kit includes chrome mounting hardware. SPORTSTER TOURING DYNA ENGINE TRIM Engine Covers Twin Cam BILLET FRONT ENGINE MOUNT BRACKET A must-have for any chrome connoisseur this chrome-plated Front Engine Mount Bracket will set your custom apart from the rest. The chrome bracket is machined from premium 6061-T6 aluminum and is a direct bolt-on replacement for the Original Equipment bracket. Can be used with the stock stabilizer link or dressed up with the optional chrome Front Engine Mount Stabilizer Link P/N 16213-10. Kit includes chrome mounting hardware. Add a custom style to the front end with this brilliant chromeplated Engine Mount Stabilizer Link. This custom heim joint assembly complements the chrome Billet Front Engine Mount Bracket P/N 16205-10. Kit includes chrome mounting hardware., Harley Davidson,  , , , Title, Default Title, , , , , 16205-10, ,,,,,110.46,129.95
cylinder-base-cover-chrome-16213-10, CYLINDER BASE COVER CHROME , CYLINDER BASE COVER CHROME Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. CYLINDER BASE COVER CHROME Engine Covers Milwaukee-Eight Add a custom style to the front end with this brilliant chromeplated Engine Mount Stabilizer Link. This custom heim joint assembly complements the chrome Billet Front Engine Mount Bracket P/N 16205-10. Kit includes chrome mounting hardware. Fits '09-later Touring and Trike models. SPORTSTER TOURING DYNA ENGINE TRIM Engine Covers Twin Cam BILLET FRONT ENGINE MOUNT BRACKET A must-have for any chrome connoisseur this chrome-plated Front Engine Mount Bracket will set your custom apart from the rest. The chrome bracket is machined from premium 6061-T6 aluminum and is a direct bolt-on replacement for the Original Equipment bracket. Can be used with the stock stabilizer link or dressed up with the optional chrome Front Engine Mount Stabilizer Link P/N 16213-10. Kit includes chrome mounting hardware. Add a custom style to the front end with this brilliant chromeplated Engine Mount Stabilizer Link. This custom heim joint assembly complements the chrome Billet Front Engine Mount Bracket P/N 16205-10. Kit includes chrome mounting hardware., Harley Davidson,  , , , Title, Default Title, , , , , 16213-10, ,,,,,46.71,54.95
sprocket-hardware-chrome-hex-head-16318-07, SPROCKET HARDWARE CHROME HEX HEAD , REAR SPROCKET BOLT COVER KIT Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. Chassis Trim Upgrade your silver polished motor to the brilliance of chrome. Kit includes the rocker housing and rocker cover tappet cover outer primary derby cover cam cover transmission top and side cover and all necessary gaskets. TWIN CAM ENGINE COVERS CHROME Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. Engine Covers Twin Cam & EVO Upgrade your silver polished motor to the brilliance of chrome. Kit includes the rocker housing and rocker cover tappet cover outer primary derby cover cam cover transmission top and side cover and all necessary gaskets., Harley Davidson,  , , , Title, Default Title, , , , , 16318-07, ,,,,,658.71,774.95
chrome-engine-kit-twin-cam-17528-92, CHROME ENGINE KIT TWIN CAM  , EVOLUTION 1340 ENGINE COVERS CHROME Inspection Covers with Shifter Hole 60529-90A Fits '91-'05 Dyna models (except FXDWG). CHROME ENGINE KIT TWIN CAM (16327-06B SHOWN) Inspection Covers without Shifter Hole 60572-86 $49.95 Fits '93-'05 FXDWG and '86-'06 FLST FXST and FXSTS models. 60670-85A Fits '85-'06 FLT models. $54.95 Outer Rocker Cover Sold as separate pieces. Order two per vehicle., Harley Davidson,  , , , Title, Default Title, , , , , 17528-92, ,,,,,80.71,94.95
evolution-1340-engine-covers-chrome-17529-92, EVOLUTION 1340 ENGINE COVERS CHROME , Inspection Covers with Shifter Hole 60529-90A Fits '91-'05 Dyna models (except FXDWG). CHROME ENGINE KIT TWIN CAM (16327-06B SHOWN) Inspection Covers without Shifter Hole 60572-86 $49.95 Fits '93-'05 FXDWG and '86-'06 FLST FXST and FXSTS models. 60670-85A Fits '85-'06 FLT models. $54.95 Outer Rocker Cover Sold as separate pieces. Order two per vehicle. Rocker Cover Spacer Sold as separate pieces. Order two per vehicle., Harley Davidson,  , , , Title, Default Title, , , , , 17529-92, ,,,,,63.71,74.95
chrome-engine-kit-twin-cam-(16327-06b-shown)-17530-92, CHROME ENGINE KIT TWIN CAM (16327-06B SHOWN) , CHROME ENGINE KIT TWIN CAM (16327-06B SHOWN) Inspection Covers without Shifter Hole 60572-86 $49.95 Fits '93-'05 FXDWG and '86-'06 FLST FXST and FXSTS models. 60670-85A Fits '85-'06 FLT models. $54.95 Outer Rocker Cover Sold as separate pieces. Order two per vehicle. Rocker Cover Spacer Sold as separate pieces. Order two per vehicle. Lower Rocker Cover Sold as separate pieces. Order two per vehicle., Harley Davidson,  , , , Title, Default Title, , , , , 17530-92, ,,,,,110.46,129.95
sportster-touring-17572-99, SPORTSTER TOURING , DYNA ENGINE TRIM Engine Covers Twin Cam Dress the engine of your Twin Cam-equipped model in chrome. These chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish. Outer Primary Covers 60764-06A $349.95 Fits '06-'17 Dyna models with mid-controls. 60782-06A $349.95 Fits '06-'17 Dyna models with forward controls and '07-'17 Softail models. 60553-07A $349.95 Fits '07-'15 Touring and Trike models (except FLHTKL and FLHTCUL). 25700385 Narrow-Profile. $349.95 Fits '07-'16 Touring and Trike models. Installation requires separate purchase of narrow derby cover derby cover gasket and primary gasket. Chrome is Original Equipment on '15-'16 FLHTCUL and FLHTKL and '16 Touring and Trike models. 60543-99B $349.95 Fits '99-'05 Dyna and '99-'06 Softail models. 60665-99B $349.95 Fits '99-'06 Touring models. Fits '94-'98 Touring models when used with Clutch Cover P/N 60668-99 and Gasket P/N 25416-99C. Cam Covers 25369-01B $174.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models. (except '01 EFI Touring). 25247-99 $174.95 Fits '99-'00 Dyna '00 Softail '99-'00 Touring and '01 EFI Touring models. Transmission Side Covers 37116-06 $129.95 Fits '06-'17 Dyna (except FXDLS) and '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 37105-99 $227.95 Fits '99-'05 Dyna '00-'06 Softail and '99-'06 Touring models. Transmission Top Covers 34469-06B $149.95 Fits '06-'17 Dyna '07-'17 Softail and '07-'16 Touring and Trike models. 34469-01 Fits '01-'05 Dyna models. $149.95 34469-99B Fits '99-'00 Dyna models. $229.95 34541-00 $229.95 Fits '00-'06 Softail and '01-'06 Touring models. Rocker and Tappet Covers Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models., Harley Davidson,  , , , Title, Default Title, , , , , 17572-99, ,,,,,97.71,114.95
sportster-touring-17573-99, SPORTSTER TOURING , DYNA ENGINE TRIM Engine Covers Twin Cam Dress the engine of your Twin Cam-equipped model in chrome. These chrome-plated components are manufactured to Original Equipment specifications for exact fit and finish. Outer Primary Covers 60764-06A $349.95 Fits '06-'17 Dyna models with mid-controls. 60782-06A $349.95 Fits '06-'17 Dyna models with forward controls and '07-'17 Softail models. 60553-07A $349.95 Fits '07-'15 Touring and Trike models (except FLHTKL and FLHTCUL). 25700385 Narrow-Profile. $349.95 Fits '07-'16 Touring and Trike models. Installation requires separate purchase of narrow derby cover derby cover gasket and primary gasket. Chrome is Original Equipment on '15-'16 FLHTCUL and FLHTKL and '16 Touring and Trike models. 60543-99B $349.95 Fits '99-'05 Dyna and '99-'06 Softail models. 60665-99B $349.95 Fits '99-'06 Touring models. Fits '94-'98 Touring models when used with Clutch Cover P/N 60668-99 and Gasket P/N 25416-99C. Cam Covers 25369-01B $174.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models. (except '01 EFI Touring). 25247-99 $174.95 Fits '99-'00 Dyna '00 Softail '99-'00 Touring and '01 EFI Touring models. Transmission Side Covers 37116-06 $129.95 Fits '06-'17 Dyna (except FXDLS) and '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 37105-99 $227.95 Fits '99-'05 Dyna '00-'06 Softail and '99-'06 Touring models. Transmission Top Covers 34469-06B $149.95 Fits '06-'17 Dyna '07-'17 Softail and '07-'16 Touring and Trike models. 34469-01 Fits '01-'05 Dyna models. $149.95 34469-99B Fits '99-'00 Dyna models. $229.95 34541-00 $229.95 Fits '00-'06 Softail and '01-'06 Touring models. Rocker and Tappet Covers Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models., Harley Davidson,  , , , Title, Default Title, , , , , 17573-99, ,,,,,97.71,114.95
twin-cam-engine-covers-gloss-black-17618-99, TWIN CAM ENGINE COVERS GLOSS BLACK  , NOTE: Removing and installing engine covers may require purchase of new gaskets. See dealer for information. TWIN CAM ENGINE COVERS GLOSS BLACK TWIN CAM ENGINE COVERS GLOSS BLACK Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. Engine Covers Twin Cam These black powder-coated engine covers are the perfect start in converting your powertrain to a striking wrinkle black look. Manufactured from Original Equipment components these covers are masked and painted on the factory production paint line to ensure a matching wrinkle black or texture black finish and a perfect fit. Complete the blacked-out look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately). 60758-06A Primary Cover. $269.95 Fits '06-'17 Dyna models with mid-controls. 60717-07A Primary Cover. $269.95 Fits '07-'17 Softail models. Also fits '06-'17 FLD and Dyna models equipped with factory forward controls. 60706-09A Primary Cover. $269.95 Fits '07-'15 Touring and Trike models (except FLHTCUL or FLHTKL). 60715-99B Primary Cover. $269.95 Fits '99-'05 Dyna and '99-'06 Softail models. 17620-99 Rocker Box Cover. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 17618-99A Rocker Box Lower Housing. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 25364-01B Cam Cover. $139.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models (except '01 EFI Touring). 37135-06 Transmission Side Cover. $74.95 Fits '06-'17 Dyna (except FXDLS) '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 37189-99 Transmission Side Cover. $129.95 Fits '99-'05 Dyna '00-'06 Softail and '99-'06 Touring models. 34521-06B Transmission Top Cover. $74.95 Fits '06-'17 Dyna and '07-'17 Softail '07-'16 Touring and Trike models. 60713-07 Derby Cover. $39.95 Fits '06-'17 Dyna and '07-'17 Softail and '07-'15 Touring and Trike models (except FLHTCUL FLHTKL or '07-'15 Touring or Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438). 60713-99 Derby Cover. $39.95 Fits '99-'05 Dyna and '99-'06 Softail and Touring models., Harley Davidson,  , , , Title, Default Title, , , , , 17618-99, ,,,,,229.46,269.95
front-end-17620-99, FRONT END  , PRODUCTION COLOR Vivid Black NEW Brass Collection Derby Cover................................... 25700515 NEW Brass Collection Timer Cover ................................... 25600057 NEW Brass Collection Air Cleaner Trim ............................ 61400339 FOOT CONTROLS Defiance Footboard Kit -- Black Anodized ...................... 50500640 Defiance Brake Pedal Pad -- Black Anodized ................. 50600185 Billet Rear Brake Lever -- Satin Black ........................... 41800-08 Billet Heel/Toe Shift Lever -- Satin Black ....................... 34023-08 REAR END NEW Brass Collection Swingarm Pivot Bolt Covers .......... 61400346 NEW Brass Collection Rear Axle Nut Covers..................... 43000050 GLOSS BLACK FORK SLIDERS ACCESSORIES FOR FIT Solo Saddle -- Black Leather ......................................... 52000279 Spring Saddle Installation Kit .......................................52000014B Pull Back Riser Kit -- Chrome ........................................ 55900023 ACCESSORIES FOR STYLE Lower Fork Sliders -- Gloss Black................................... 45500015 Upper Fork Slider Covers -- Gloss Black......................... 45591-02 NEW Front Axle Nut Covers -- Brass Collection .............. 43000046 LIGHTING & ELECTRICAL NEW DaymakerTM Signature LED Headlamp -- Black ...... 67700354 Headlamp Trim Ring -- Gloss Black 7 Headlamp ........ 67700115 HAND CONTROLS & GAUGES NEW Brass Collection Hand Grips...................................56100134 Black Hand Control Lever Kit ..........................................36700105 NEW Brass Collection Fuel Cap ......................................61100076 NEW Brass Collection LED Fuel Gauge............................70900709 ENGINE & CHASSIS TRIM Wrinkle Black Rocker Box Covers (2) ............................... 17620-99 Wrinkle Black Cam Cover ...............................................25364-01B NOTE: Removing and installing engine covers may require purchase of new gaskets. See dealer for information. TWIN CAM ENGINE COVERS GLOSS BLACK TWIN CAM ENGINE COVERS GLOSS BLACK Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. Engine Covers Twin Cam These black powder-coated engine covers are the perfect start in converting your powertrain to a striking wrinkle black look. Manufactured from Original Equipment components these covers are masked and painted on the factory production paint line to ensure a matching wrinkle black or texture black finish and a perfect fit. Complete the blacked-out look with matching primary covers rocker housings rocker covers cam covers and transmission covers (sold separately). 60758-06A Primary Cover. $269.95 Fits '06-'17 Dyna models with mid-controls. 60717-07A Primary Cover. $269.95 Fits '07-'17 Softail models. Also fits '06-'17 FLD and Dyna models equipped with factory forward controls. 60706-09A Primary Cover. $269.95 Fits '07-'15 Touring and Trike models (except FLHTCUL or FLHTKL). 60715-99B Primary Cover. $269.95 Fits '99-'05 Dyna and '99-'06 Softail models. 17620-99 Rocker Box Cover. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 17618-99A Rocker Box Lower Housing. $74.95 Fits '99-'17 Dyna '00-'17 Softail and '99-'16 Touring and Trike models (2 required). 25364-01B Cam Cover. $139.95 Fits '01-'17 Dyna Softail and '01-'16 Touring and Trike models (except '01 EFI Touring). 37135-06 Transmission Side Cover. $74.95 Fits '06-'17 Dyna (except FXDLS) '07-'17 Softail (except FLSS FLSTFBS FXCW FXCWC FXSB and FXSE) and '07-'16 Touring and Trike models. Does not fit models equipped with a hydraulic clutch. 37189-99 Transmission Side Cover. $129.95 Fits '99-'05 Dyna '00-'06 Softail and '99-'06 Touring models. 34521-06B Transmission Top Cover. $74.95 Fits '06-'17 Dyna and '07-'17 Softail '07-'16 Touring and Trike models. 60713-07 Derby Cover. $39.95 Fits '06-'17 Dyna and '07-'17 Softail and '07-'15 Touring and Trike models (except FLHTCUL FLHTKL or '07-'15 Touring or Trike models equipped with Narrow-Profile Outer Primary Cover P/N 25700385 or 25700438). 60713-99 Derby Cover. $39.95 Fits '99-'05 Dyna and '99-'06 Softail and Touring models., Harley Davidson,  , , , Title, Default Title, , , , , 17620-99, ,,,,,229.46,269.95
