"quick-release-seat-hardware-kit-10500093", "QUICK-RELEASE SEAT HARDWARE KIT - 10500093" , "REAR FENDER BIB TANK BRA QUICK-RELEASE SEAT HARDWARE KIT This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson seats quickly and easily. The knurled knob is easy to install or remove without tools, and the nylon washer keeps the finger tightened knob in place and rattle free. A raised-logo Harley-Davidson emblem finishes the look. SAE 1/4-20 thread. QUICK-RELEASE SEAT HARDWARE KITS This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson seats quickly and easily. The knurled knob is easy to install or remove without tools, and the nylon washer keeps the finger tightened knob in place and rattle free. A raised-logo Harley-Davidson emblem finishes the look. SAE 1/4-20 thread. CIRCULATOR SEAT AND WIDE BACKREST PADS RAIN COVERS* Featuring a handy storage sack, this black nylon, water-resistant, Cordura cover packs easily and shelters your seat from the storm. 51638-97 Solo Seat. $29.95 Fits H-D solo seats (except XR and FLSTS). 51639-97 Two-Up. $31.95 Fits VRSC, XG, XL, Dyna and Softail models with Two-Up seats. Does not fit Touring and Trike models. Does not fit with Rider Backrests. D. QUICK-RELEASE SEAT HARDWARE KIT This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson seats quickly and easily. The knurled knob is easy to install or remove without tools, and the nylon washer keeps the finger tightened knob in place and rattle free. A raised-logo Harley-Davidson emblem finishes the look. SAE 1/4-20 thread. STANDARD LEATHER SOLO SPRING SADDLE DELUXE LEATHER SOLO SPRING SADDLE WITH NOSTALGIC SKIRT Complete the stripped-down solo look by replacing the Original Equipment passenger pillion with this decorative fender cover. Form-fitted to hug the contour of the rear fender, this decorative fender cover hides the passenger pillion mounting holes that are exposed when riding with a solo seat. Styled to match the Original Equipment solo seat, the Fender Bib features a textured leather insert to complete the custom look. The molded base is finished with a soft felt underliner designed to protect the fender's painted surface. 52018-08 Softail Deluxe Styling. $69.95 Fits '05-'17 FLSTN models equipped with Original Equipment rider seat. 52038-08 Fat Boy Styling. $69.95 Fits '07-'17 FLSTF, FLSTFB and FLSTFBS models equipped with Original Equipment rider seat. F. QUICK-RELEASE SEAT HARDWARE KIT This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson seats quickly and easily. The knurled knob is easy to install or remove without tools, and the nylon washer keeps the finger tightened knob in place and rattle free. A raised-logo Harley-Davidson emblem finishes the look. SAE 1/4-20 thread. Beef up the look of the passenger handrail with these easy-toinstall chrome-plated grips. The thick diameter offers a firm and comfortable hand hold for your passenger and features jet black rubber inserts, ball-milled grooves and Bar & Shield logo for added style. Kit includes right and left grip and stainless steel mounting hardware. QUICK-RELEASE SEAT HARDWARE KIT This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson seats quickly and easily. The knurled knob is easy to install or remove without tools, and the nylon washer keeps the finger tightened knob in place and rattle free. A raised-logo Harley-Davidson emblem finishes the look. SAE 1/4-20 thread.", "Harley Davidson", "" , , "", "Title", "Default Title", , , , , "10500093", ,,,,,"16.96","19.95"
"handlebar-mount-clamp-10800055", "HANDLEBAR MOUNT CLAMP - 10800055" , "HANDLEBAR THERMOMETER 1.5 BLACK Position your Handlebar Clock or Temperature Gauge for quick and comfortable viewing. Custom hinged clamp firmly grips the handlebar and locks the clock or temperature gauge into position. Easy to install at your choice of location along the bar, this clamp provides an alternative mounting position if the handlebar control clamp bracket is occupied by other accessories like zu mo GPS Navigator, Boom!TM Audio Cruiser Amp & Speaker Kit, Gear Indicators or Auxiliary Switch Housings.", "Harley Davidson", "" , , "", "Title", "Default Title", , , , , "10800055", ,,,,,"18.66","21.95"
"loctite-silver-grade-anti-seize-11100001", "LOCTITE SILVER GRADE ANTI-SEIZE - 11100001" , "LOCTITE 243TM THREADLOCKER AND SEALANT BLUE Worldwide replacement for 242 Threadlocker. A medium strength, general purpose thread locking adhesive, especially well-suited for fasteners between 1/4 and 3/4 diameter (6 to 20mm). Applied to threaded components before assembly, Blue 243 has controlled lubricity for accurate clamp loads. Disassembly possible with hand tools. 99642-97 Blue 6 ml Tube. $10.95 11100005 Blue 50 ml Bottle. $40.95 K. LOCTITE 262 THREADLOCKER AND SEALANT Loctite 262 is a permanent, high break-away strength product designed for securing fasteners 3/8 to 1 in diameter that must withstand heavy shock, vibration, or extreme chemical or environmental conditions. Localized heating and hand tools are required for disassembly. 94759-99 Red 6 ml Tube. $13.95 11100006 Red 50 ml Bottle. $40.95 L. LOCTITE THREADLOCKER STICK Loctite Threadlocker Stick is formulated to lock and seal threaded metal fasteners. The wax-like semi-solid won't drip like liquid formulas, and is conveniently packaged in a self-feeding stick applicator. Available in medium and high strength formulas. LOCTITE 262 THREADLOCKER AND SEALANT LOCTITE THREADLOCKER STICK LOCTITE SILVER GRADE ANTI-SEIZE Heavy-duty metal-free anti-seize formulation protects metal parts from rust, corrosion, galling and seizing. Anti-Seize eases disassembly of slip fit, press fit and threaded joints, and provides outstanding lubrication to all metals including stainless steel, aluminum, and soft metals. Withstands temperatures up to 1600F. Semi-solid stick for easy application.", "Harley Davidson", "" , , "", "Title", "Default Title", , , , , "11100001", ,,,,,"12.71","14.95"
"touring-side-cover-11100078", "TOURING SIDE COVER - 11100078" , "TRANSPARENT PAINT GUARD KITS, SADDLEBAGS LID SADDLEBAGS FRONT TOURING SIDE COVERS", "Harley Davidson", "" , , "", "Title", "Default Title", , , , , "11100078", ,,,,,"33.96","39.95"
"front-fende-11100080", "FRONT FENDE - 11100080" , "TRANSPARENT PAINT GUARD KITS, SADDLEBAGS LID SADDLEBAGS FRONT TOURING SIDE COVERS FRONT FENDER", "Harley Davidson", "" , , "", "Title", "Default Title", , , , , "11100080", ,,,,,"33.96","39.95"
"fairing-lower-11100086", "FAIRING LOWER - 11100086" , "FRONT FENDER TRANSPARENT PAINT GUARD KITS, SADDLEBAGS LID '93-'13 MODELS TRANSPARENT PAINT GUARD KITS, SADDLEBAGS LID '14-LATER MODELS FAIRING LOWERS", "Harley Davidson", "" , , "", "Title", "Default Title", , , , , "11100086", ,,,,,"42.46","49.95"
"saddlebags-fron-11100097", "SADDLEBAGS FRON - 11100097" , "TRANSPARENT PAINT GUARD KITS, SADDLEBAGS LID SADDLEBAGS FRONT", "Harley Davidson", "" , , "", "Title", "Default Title", , , , , "11100097", ,,,,,"42.46","49.95"
"switched-circuit-adapter-harness-&-electrical-accessory-adapte-11100098", "SWITCHED CIRCUIT ADAPTER HARNESS & ELECTRICAL ACCESSORY ADAPTE - 11100098" , "SWITCHED CIRCUIT ADAPTER HARNESS & ELECTRICAL ACCESSORY ADAPTER", "Harley Davidson", "" , , "", "Title", "Default Title", , , , , "11100098", ,,,,,"67.96","79.95"
"locking-h-d-detachables-latch-kit-chrom-12600036", "LOCKING H-D DETACHABLES LATCH KIT CHROM - 12600036" , "LOCKING H-D DETACHABLESTM LATCH KIT This unique lock replaces the camlock on your HarleyDavidson DetachablesTM accessories, providing additional security and peace of mind when parking your vehicle. The kit includes two extended-reach barrel-style keys for easy access to the lock. Key registration and replacement service is available. Sold in pairs. H-D DETACHABLES LATCH KIT CHROME Decorative chrome latches are the perfect way to enhance the appearance of your detachable accessories. Meticulously polished and chrome-plated, these easy-to-install Rotary Latches are a direct replacement for the Original Equipment satin black parts and are a simple way to add a finishing touch to your ride. Latches feature an easy-to-pull finger release to simplify access in hard-to-reach areas. LOCKING H-D DETACHABLESTM LATCH KIT This unique lock replaces the camlock on your HarleyDavidson DetachablesTM accessories, providing additional security and peace of mind when parking your vehicle. The kit includes two extended-reach barrel-style keys for easy access to the lock. Key registration and replacement service is available. Sold in pairs. H-D DETACHABLES LATCH KIT CHROME Decorative chrome latches are the perfect way to enhance the appearance of your detachable accessories. Meticulously polished and chrome-plated, these easy-to-install Rotary Latches are a direct replacement for the Original Equipment satin black parts and are a simple way to add a finishing touch to your ride. Latches feature an easy-to-pull finger release to simplify access in hard-to-reach areas. H-D DETACHABLES SOLO RACK GLOSS BLACK (53612-08A SHOWN) H-D DETACHABLES SOLO RACK GLOSS BLACK (50300099A SHOWN) H-D DETACHABLES LATCH KIT CHROME Decorative chrome latches are the perfect way to enhance the appearance of your detachable accessories. Meticulously polished and chrome-plated, these easy-to-install Rotary Latches are a direct replacement for the Original Equipment satin black parts and are a simple way to add a finishing touch to your ride. Latches feature an easy-to-pull finger release to simplify access in hard-to-reach areas. LOCKING H-D DETACHABLES LATCH KIT CHROME", "Harley Davidson", "" , , "", "Title", "Default Title", , , , , "12600036", ,,,,,"42.46","49.95"
"compact-air-compressor-with-light-12700020", "COMPACT AIR COMPRESSOR WITH LIGHT - 12700020" , "Simplify checking the air pressure level and filling the tires on your motorcycle. This Tire Pressure Gauge features an 18 flexible hose and 2-way air chuck with both a 45 fill port and a unique side fill port that provides easy straight-in access to hard-to-reach motorcycle valve stems. The dual-range instantread gauge measures pressures from 0-60 psi and 0-400 kPa, and is protected from impact and abrasion by a thick rubber collar. Designed to fit an air compressor with a standard 1/4 quick-disconnect coupler, this gauge allows you to check the pressure and fill the tire without removing the chuck from the tire. Just apply the chuck to the valve stem, read the pressure, and add air by depressing the comfortable trigger leaver. And for checking tire pressure on the road, you can use this tool like any standard tire gauge. Correct tire pressure is crucial to safe operation and long tire life, but checking the pressure, finding a gas station with a working air pump, and filling the tire is a chore that many of us ignore. The Compact Air Compressor is designed to simplify this necessary procedure. The compact, lightweight 12V pump is designed for life on the road. The all-in-one pump plugs into your bike's battery charging harness, and features a built-in 0-160 psi pressure gauge and bright LED work light. The 11 air hose and 6' fuse-protected power cord easily reach the front and rear wheels, and are stored in convenient compartments when not in use. The lightweight pump features durable, impact-resistant construction, and is small enough to fit easily in a saddlebag or strap-on luggage. Kit includes pump, valve stem extension, and nylon carrying bag.", "Harley Davidson", "" , , "", "Title", "Default Title", , , , , "12700020", ,,,,,"36.51","42.95"
